Country,Time,Researchers (FTE) - Total ,GERD as perc GDP,GDP per capita (current US$),Population,Res100K
Argentina,1996.00,,0.42,7683.57,35246374.00,
Argentina,1997.00,24804.00,0.42,8172.66,35657429.00,69.56
Argentina,1998.00,25419.00,0.41,8248.76,36063459.00,70.48
Argentina,1999.00,26004.00,0.45,7736.37,36467218.00,71.31
Argentina,2000.00,26420.00,0.44,7669.27,36870787.00,71.66
Argentina,2001.00,25656.00,0.42,7170.69,37275652.00,68.83
Argentina,2002.00,26083.00,0.39,2579.19,37681749.00,69.22
Argentina,2003.00,27367.00,0.41,3330.44,38087868.00,71.85
Argentina,2004.00,29471.00,0.40,4251.57,38491972.00,76.56
Argentina,2005.00,31868.00,0.42,5076.88,38892931.00,81.94
Argentina,2006.00,35040.00,0.45,5878.76,39289878.00,89.18
Argentina,2007.00,38681.00,0.46,7193.62,39684295.00,97.47
Argentina,2008.00,41523.00,0.47,8953.36,40080160.00,103.60
Argentina,2009.00,42135.60,0.58,8161.31,40482788.00,104.08
Argentina,2010.00,46198.78,0.56,10276.26,40895752.00,112.97
Argentina,2011.00,49028.83,0.57,12726.91,41320500.00,118.65
Argentina,2012.00,50489.18,0.63,12969.71,41755196.00,120.92
Argentina,2013.00,50784.51,0.62,12976.64,42196030.00,120.35
Argentina,2014.00,51665.00,0.59,12245.26,42637511.00,121.17
Argentina,2015.00,52969.50,0.61,13698.29,43075416.00,122.97
Argentina,2016.00,54046.38,0.53,12654.36,43508460.00,124.22
